date,time,open,high,low,close,volume
02/12/2022,00:00,42412.300781,42992.550781,41852.574219,42244.46875,18152390304
02/13/2022,00:00,42236.566406,42693.054688,41950.941406,42197.515625,14741589015
02/14/2022,00:00,42157.398438,42775.777344,41681.957031,42586.917969,20827783012
02/15/2022,00:00,42586.464844,44667.21875,42491.035156,44575.203125,22721659051
02/16/2022,00:00,44578.277344,44578.277344,43456.691406,43961.859375,19792547657
02/17/2022,00:00,43937.070313,44132.972656,40249.371094,40538.011719,26246662813
02/18/2022,00:00,40552.132813,40929.152344,39637.617188,40030.976563,23310007704
02/19/2022,00:00,40026.023438,40418.878906,39713.058594,40122.15625,13736557863
02/20/2022,00:00,40118.101563,40119.890625,38112.8125,38431.378906,18340576452
02/21/2022,00:00,38423.210938,39394.4375,36950.476563,37075.28125,29280402798
02/22/2022,00:00,37068.769531,38359.855469,36488.933594,38286.027344,25493150450
02/23/2022,00:00,38285.28125,39122.394531,37201.816406,37296.570313,21849073843
02/24/2022,00:00,37278.566406,38968.839844,34459.21875,38332.609375,46383802093
02/25/2022,00:00,38333.746094,39630.324219,38111.34375,39214.21875,26545599159
02/26/2022,00:00,39213.082031,40005.347656,38702.535156,39105.148438,17467554129
02/27/2022,00:00,39098.699219,39778.941406,37268.976563,37709.785156,23450127612
02/28/2022,00:00,37706.0,43760.457031,37518.214844,43193.234375,35690014104
03/01/2022,00:00,43194.503906,44793.601563,42952.585938,44354.636719,32479047645
03/02/2022,00:00,44357.617188,45077.578125,43432.851563,43924.117188,29183112630
03/03/2022,00:00,43925.195313,44021.578125,41914.75,42451.789063,24967782593
03/04/2022,00:00,42458.140625,42479.613281,38805.847656,39137.605469,28516271427
03/05/2022,00:00,39148.449219,39566.335938,38777.035156,39400.585938,16975917450
03/06/2022,00:00,39404.199219,39640.175781,38211.648438,38419.984375,19745229902
03/07/2022,00:00,38429.304688,39430.226563,37260.203125,38062.039063,28546143503
03/08/2022,00:00,38059.902344,39304.441406,37957.386719,38737.269531,25776583476
03/09/2022,00:00,38742.816406,42465.671875,38706.09375,41982.925781,32284121034
03/10/2022,00:00,41974.070313,42004.726563,38832.941406,39437.460938,31078064711
03/11/2022,00:00,39439.96875,40081.679688,38347.433594,38794.972656,26364890465
03/12/2022,00:00,38794.464844,39308.597656,38772.535156,38904.011719,14616450657
03/13/2022,00:00,38884.726563,39209.351563,37728.144531,37849.664063,17300745310
03/14/2022,00:00,37846.316406,39742.5,37680.734375,39666.753906,24322159070
03/15/2022,00:00,39664.25,39794.628906,38310.210938,39338.785156,23934000868
03/16/2022,00:00,39335.570313,41465.453125,39022.347656,41143.929688,39616916192
03/17/2022,00:00,41140.84375,41287.535156,40662.871094,40951.378906,22009601093
03/18/2022,00:00,40944.839844,42195.746094,40302.398438,41801.15625,34421564942
03/19/2022,00:00,41794.648438,42316.554688,41602.667969,42190.652344,19664853187
03/20/2022,00:00,42191.40625,42241.164063,41004.757813,41247.824219,20127946682
03/21/2022,00:00,41246.132813,41454.410156,40668.042969,41077.996094,24615543271
03/22/2022,00:00,41074.105469,43124.707031,40948.28125,42358.808594,32004652376
03/23/2022,00:00,42364.378906,42893.507813,41877.507813,42892.957031,25242943069
03/24/2022,00:00,42886.652344,44131.855469,42726.164063,43960.933594,31042992291
03/25/2022,00:00,43964.546875,44999.492188,43706.285156,44348.730469,30574413034
03/26/2022,00:00,44349.859375,44735.996094,44166.273438,44500.828125,16950455995
03/27/2022,00:00,44505.355469,46827.546875,44437.292969,46820.492188,28160889722
03/28/2022,00:00,46821.851563,48086.835938,46690.203125,47128.003906,36362175703
03/29/2022,00:00,47100.4375,48022.289063,47100.4375,47465.730469,31397059069
03/30/2022,00:00,47456.898438,47655.148438,46746.210938,47062.664063,29333883962
03/31/2022,00:00,47062.148438,47512.027344,45390.539063,45538.675781,33327427106
04/01/2022,00:00,45554.164063,46616.242188,44403.140625,46281.644531,38162644287
04/02/2022,00:00,46285.5,47028.28125,45782.511719,45868.949219,29336594194
04/03/2022,00:00,45859.128906,47313.476563,45634.105469,46453.566406,25414397610
04/04/2022,00:00,46445.273438,46791.089844,45235.816406,46622.675781,32499785455
04/05/2022,00:00,46624.507813,47106.140625,45544.808594,45555.992188,29640604055
04/06/2022,00:00,45544.355469,45544.355469,43193.953125,43206.738281,39393395788
04/07/2022,00:00,43207.5,43860.699219,42899.90625,43503.847656,26101973106
04/08/2022,00:00,43505.136719,43903.019531,42183.289063,42287.664063,27215995394
04/09/2022,00:00,42282.078125,42786.816406,42183.253906,42782.136719,16050772496
04/10/2022,00:00,42781.089844,43376.378906,42021.207031,42207.671875,17654475582
04/11/2022,00:00,42201.039063,42424.589844,39373.058594,39521.902344,33949912166
04/12/2022,00:00,39533.714844,40617.585938,39388.328125,40127.183594,30991500854
04/13/2022,00:00,40123.570313,41430.054688,39712.746094,41166.730469,27691105228
04/14/2022,00:00,41160.21875,41451.480469,39695.746094,39935.515625,24342001973
04/15/2022,00:00,39939.402344,40617.722656,39866.832031,40553.464844,21756855753
04/16/2022,00:00,40552.316406,40633.679688,40078.425781,40424.484375,16833150693
04/17/2022,00:00,40417.777344,40570.726563,39620.894531,39716.953125,19087633042
04/18/2022,00:00,39721.203125,40986.320313,38696.191406,40826.214844,33705182072
04/19/2022,00:00,40828.175781,41672.960938,40618.632813,41502.75,25303206547
04/20/2022,00:00,41501.746094,42126.300781,40961.097656,41374.378906,27819532341
04/21/2022,00:00,41371.515625,42893.582031,40063.828125,40527.363281,35372786395
04/22/2022,00:00,40525.863281,40777.757813,39315.417969,39740.320313,28011716745
04/23/2022,00:00,39738.722656,39935.859375,39352.203125,39486.730469,16138021249
04/24/2022,00:00,39478.375,39845.925781,39233.539063,39469.292969,17964398167
04/25/2022,00:00,39472.605469,40491.753906,38338.378906,40458.308594,35445730570
04/26/2022,00:00,40448.421875,40713.890625,37884.984375,38117.460938,34569088416
04/27/2022,00:00,38120.300781,39397.917969,37997.3125,39241.121094,30981015184
04/28/2022,00:00,39241.429688,40269.464844,38941.421875,39773.828125,33903704907
04/29/2022,00:00,39768.617188,39887.269531,38235.535156,38609.824219,30882994649
04/30/2022,00:00,38605.859375,38771.210938,37697.941406,37714.875,23895713731
05/01/2022,00:00,37713.265625,38627.859375,37585.789063,38469.09375,27002760110
