date,time,open,high,low,close,volume,position,ema-1,ema-20,ema-25,ema-30,ema-35,ema-40,ema-45,ema-50,ema-55,ema-200,rsi,trend,signal
12/06/2015,00:00,389.554993,402.80899,387.088989,388.78299,77762000,0,388.78299,356.5368003190691,352.197234795179,347.98245349379386,343.8304479769305,339.7770588433431,335.87148372670794,332.150156594639,328.6328278515165,280.1521527039059,78.90128131139986,1,1
12/07/2015,00:00,389.977997,399.968994,385.411011,395.536011,63455800,0,395.536011,360.2510108601101,355.53098681093445,351.05042494580715,346.7029792559899,342.49700772903367,338.4655936081555,334.63587637524137,331.0222272496766,281.3002507964044,81.1351113542704,1,1
12/08/2015,00:00,395.753998,415.562988,389.950012,415.562988,57801400,0,415.562988,365.5188182067663,360.1488330562472,355.2125257880131,350.5285352973238,346.061201888593,341.8176542338878,337.80948859582014,334.04154013361665,282.636198430271,85.79051241634079,1,1
12/09/2015,00:00,414.44101,423.119995,406.290985,417.562988,90917200,0,417.562988,370.4754058061219,364.565306513459,359.2351362533026,354.2526715585836,349.54909389402746,345.1109296150231,340.9370768077488,337.0244489859875,283.97875355036786,85.10280659993933,1,1
12/10/2015,00:00,417.988007,419.509003,411.548004,415.479004,52138900,0,415.479004,374.7614627769674,368.48174478165447,362.8637728821218,357.6541344719956,352.7651870699285,348.17041111002214,343.86028963881745,339.82639737934505,285.2872137538468,79.9351806115682,1,1
12/11/2015,00:00,415.281006,451.937988,415.281006,451.937988,110944000,0,451.937988,382.11160803630383,374.9014557984503,368.61049643811396,362.89212633466246,357.60288467627345,352.68204488784727,348.09863075102066,343.83038275865414,286.94543041301256,84.52415138333619,1,1
12/12/2015,00:00,452.334991,469.102997,410.740997,434.997009,131969000,0,434.997009,387.14831288998914,379.524190660108,372.8934972485582,366.8979531494034,361.3782078140162,356.26095637098433,351.5064102901963,347.08633369584504,288.41858044870395,75.48698295049626,1,1
12/13/2015,00:00,431.660004,441.679993,426.268005,433.755005,55050600,0,433.755005,391.5870454718949,383.69579176317666,376.820046135748,370.6122338077699,364.90878328650325,359.6302628331154,354.73184537685523,350.18164338527913,289.86471402632884,72.37222456594723,1,1
12/14/2015,00:00,433.272003,447.141998,430.455994,444.182007,130496000,0,444.182007,396.5960894269525,388.3485775506246,381.165979094732,374.69944342956046,368.77576980911283,363.30642562298,358.2396948522727,353.53879922866207,291.40020947880316,73.21643498344359,1,1
12/15/2015,00:00,443.877991,465.321014,443.877991,465.321014,83121104,0,465.321014,403.14132033867133,394.2695342005766,386.5953361853945,379.7339751279182,373.4852939159854,367.7418425089374,362.43896226983065,357.53102118478125,293.1307647476708,84.20903177059523,1,1
12/16/2015,00:00,465.208008,465.208008,443.851013,454.93399,107944000,0,454.93399,408.07395554451216,398.93603080053225,391.0042815927884,383.9117537319228,377.45840104203484,371.5328054433314,366.06621825924907,361.00969864246764,294.74074708849,80.41769144959183,1,1
