date,time,open,high,low,close,volume,position,initial_balance,profit
2020-11-26,00:00,18729.83984,18866.28516,16351.03516,17150.62305,61396835737.0,0,100.0,5.0
2020-11-27,00:00,17153.91406,17445.02344,16526.42383,17108.40234,38886494645.0,0,100.0,5.0
2020-11-28,00:00,17112.93359,17853.93945,16910.65234,17717.41406,32601040734.0,0,100.0,5.0
2020-11-29,00:00,17719.63477,18283.62891,17559.11719,18177.48438,31133957704.0,0,100.0,5.0
2020-11-30,00:00,18178.32227,19749.26367,18178.32227,19625.83594,47728480399.0,0,100.0,5.0
2020-12-01,00:00,19633.76953,19845.97461,18321.92188,18802.99805,49633658712.0,0,100.0,5.0
2020-12-02,00:00,18801.74414,19308.33008,18347.71875,19201.0918,37387697139.0,0,100.0,5.0
2020-12-03,00:00,19205.92578,19566.19141,18925.78516,19445.39844,31930317405.0,0,100.0,5.0
2020-12-04,00:00,19446.9668,19511.4043,18697.19336,18699.76563,33872388058.0,0,100.0,5.0
2020-12-05,00:00,18698.38477,19160.44922,18590.19336,19154.23047,27242455064.0,0,100.0,5.0
2020-12-06,00:00,19154.17969,19390.5,18897.89453,19345.12109,25293775714.0,0,100.0,5.0
2020-12-07,00:00,19343.12891,19411.82813,18931.14258,19191.63086,26896357742.0,0,100.0,5.0
2020-12-08,00:00,19191.5293,19283.47852,18269.94531,18321.14453,31692288756.0,0,100.0,5.0
2020-12-09,00:00,18320.88477,18626.29297,17935.54688,18553.91602,34420373071.0,0,100.0,5.0
2020-12-10,00:00,18553.29883,18553.29883,17957.06445,18264.99219,25547132265.0,0,100.0,5.0
2020-12-11,00:00,18263.92969,18268.45313,17619.5332,18058.9043,27919640985.0,0,100.0,5.0
2020-12-12,00:00,18051.32031,18919.55078,18046.04102,18803.65625,21752580802.0,0,100.0,5.0
2020-12-13,00:00,18806.76563,19381.53516,18734.33203,19142.38281,25450468637.0,0,100.0,5.0
2020-12-14,00:00,19144.49219,19305.09961,19012.70898,19246.64453,22473997681.0,0,100.0,5.0
2020-12-15,00:00,19246.91992,19525.00781,19079.8418,19417.07617,26741982541.0,0,100.0,5.0
2020-12-16,00:00,19418.81836,21458.9082,19298.31641,21310.59766,44409011479.0,0,100.0,5.0
2020-12-17,00:00,21308.35156,23642.66016,21234.67578,22805.16211,71378606374.0,0,100.0,5.0
2020-12-18,00:00,22806.79688,23238.60156,22399.8125,23137.96094,40387896275.0,0,100.0,5.0
2020-12-19,00:00,23132.86523,24085.85547,22826.47266,23869.83203,38487546580.0,0,100.0,5.0
2020-12-20,00:00,23861.76563,24209.66016,23147.71094,23477.29492,37844228422.0,0,100.0,5.0
2020-12-21,00:00,23474.45508,24059.98242,22159.36719,22803.08203,45852713981.0,0,100.0,5.0
2020-12-22,00:00,22794.03906,23789.90234,22430.60547,23783.0293,44171632681.0,0,100.0,5.0
2020-12-23,00:00,23781.97461,24024.49023,22802.64648,23241.3457,51146161904.0,0,100.0,5.0
2020-12-24,00:00,23240.20313,23768.33789,22777.59766,23735.94922,41080759713.0,0,100.0,5.0
2020-12-25,00:00,23733.57031,24710.10156,23463.67383,24664.79102,42068395846.0,0,100.0,5.0
2020-12-26,00:00,24677.01563,26718.07031,24522.68945,26437.03711,48332647295.0,0,100.0,5.0
2020-12-27,00:00,26439.37305,28288.83984,25922.76953,26272.29492,66479895605.0,0,100.0,5.0
2020-12-28,00:00,26280.82227,27389.11133,26207.64063,27084.80859,49056742893.0,0,100.0,5.0
2020-12-29,00:00,27081.81055,27370.7207,25987.29883,27362.4375,45265946774.0,0,100.0,5.0
2020-12-30,00:00,27360.08984,28937.74023,27360.08984,28840.95313,51287442704.0,0,100.0,5.0
2020-12-31,00:00,28841.57422,29244.87695,28201.99219,29001.7207,46754964848.0,0,100.0,5.0
2021-01-01,00:00,28994.00977,29600.62695,28803.58594,29374.15234,40730301359.0,0,100.0,5.0
2021-01-02,00:00,29376.45508,33155.11719,29091.18164,32127.26758,67865420765.0,0,100.0,5.0
2021-01-03,00:00,32129.4082,34608.55859,32052.31641,32782.02344,78665235202.0,0,100.0,5.0
2021-01-04,00:00,32810.94922,33440.21875,28722.75586,31971.91406,81163475344.0,0,100.0,5.0
2021-01-05,00:00,31977.04102,34437.58984,30221.1875,33992.42969,67547324782.0,0,100.0,5.0
2021-01-06,00:00,34013.61328,36879.69922,33514.03516,36824.36328,75289433811.0,0,100.0,5.0
2021-01-07,00:00,36833.875,40180.36719,36491.19141,39371.04297,84762141031.0,0,100.0,5.0
2021-01-08,00:00,39381.76563,41946.73828,36838.63672,40797.60938,88107519480.0,0,100.0,5.0
2021-01-09,00:00,40788.64063,41436.35156,38980.875,40254.54688,61984162837.0,0,100.0,5.0
2021-01-10,00:00,40254.21875,41420.19141,35984.62891,38356.44141,79980747690.0,0,100.0,5.0
2021-01-11,00:00,38346.53125,38346.53125,30549.59961,35566.65625,123000000000.0,0,100.0,5.0
2021-01-12,00:00,35516.35938,36568.52734,32697.97656,33922.96094,74773277909.0,0,100.0,5.0
2021-01-13,00:00,33915.12109,37599.96094,32584.66797,37316.35938,69364315979.0,0,100.0,5.0
2021-01-14,00:00,37325.10938,39966.40625,36868.5625,39187.32813,63615990033.0,0,100.0,5.0
2021-01-15,00:00,39156.70703,39577.71094,34659.58984,36825.36719,67760757881.0,0,100.0,5.0
2021-01-16,00:00,36821.64844,37864.36719,35633.55469,36178.14063,57706187875.0,0,100.0,5.0
2021-01-17,00:00,36163.64844,36722.35156,34069.32031,35791.27734,52359854336.0,0,100.0,5.0
2021-01-18,00:00,35792.23828,37299.28516,34883.84375,36630.07422,49511702429.0,0,100.0,5.0
2021-01-19,00:00,36642.23438,37755.89063,36069.80469,36069.80469,57244195486.0,0,100.0,5.0
2021-01-20,00:00,36050.11328,36378.32813,33570.47656,35547.75,66834573161.0,0,100.0,5.0
2021-01-21,00:00,35549.39844,35552.67969,30250.75,30825.69922,75643067688.0,0,100.0,5.0
2021-01-22,00:00,30817.625,33811.85156,28953.37305,33005.76172,77207272511.0,0,100.0,5.0
2021-01-23,00:00,32985.75781,33360.97656,31493.16016,32067.64258,48354737975.0,0,100.0,5.0
2021-01-24,00:00,32064.37695,32944.00781,31106.68555,32289.37891,48643830599.0,0,100.0,5.0
2021-01-25,00:00,32285.79883,34802.74219,32087.78711,32366.39258,59897054838.0,0,100.0,5.0
2021-01-26,00:00,32358.61328,32794.55078,31030.26563,32569.84961,60255421470.0,0,100.0,5.0
2021-01-27,00:00,32564.0293,32564.0293,29367.13867,30432.54688,62576762015.0,0,100.0,5.0
2021-01-28,00:00,30441.04102,33858.3125,30023.20703,33466.09766,76517157706.0,0,100.0,5.0
2021-01-29,00:00,34318.67188,38406.26172,32064.81445,34316.38672,118000000000.0,0,100.0,5.0
2021-01-30,00:00,34295.93359,34834.70703,32940.1875,34269.52344,65141828798.0,0,100.0,5.0
2021-01-31,00:00,34270.87891,34288.33203,32270.17578,33114.35938,52754542671.0,0,100.0,5.0
2021-02-01,00:00,33114.57813,34638.21484,32384.22852,33537.17578,61400400660.0,0,100.0,5.0
2021-02-02,00:00,33533.19922,35896.88281,33489.21875,35510.28906,63088585433.0,0,100.0,5.0
2021-02-03,00:00,35510.82031,37480.1875,35443.98438,37472.08984,61166818159.0,0,100.0,5.0
2021-02-04,00:00,37475.10547,38592.17578,36317.5,36926.06641,68838074392.0,0,100.0,5.0
2021-02-05,00:00,36931.54688,38225.90625,36658.76172,38144.30859,58598066402.0,0,100.0,5.0
2021-02-06,00:00,38138.38672,40846.54688,38138.38672,39266.01172,71326033653.0,0,100.0,5.0
2021-02-07,00:00,39250.19141,39621.83594,37446.15234,38903.44141,65500641143.0,0,100.0,5.0
2021-02-08,00:00,38886.82813,46203.92969,38076.32422,46196.46484,101000000000.0,0,100.0,5.0
2021-02-09,00:00,46184.99219,48003.72266,45166.96094,46481.10547,91809846886.0,0,100.0,5.0
2021-02-10,00:00,46469.76172,47145.56641,43881.15234,44918.18359,87301089896.0,0,100.0,5.0
2021-02-11,00:00,44898.71094,48463.46875,44187.76172,47909.33203,81388911810.0,0,100.0,5.0
2021-02-12,00:00,47877.03516,48745.73438,46424.97656,47504.85156,76555041196.0,0,100.0,5.0
2021-02-13,00:00,47491.20313,48047.74609,46392.28125,47105.51563,70250456155.0,0,100.0,5.0
2021-02-14,00:00,47114.50781,49487.64063,47114.50781,48717.28906,71248675228.0,0,100.0,5.0
2021-02-15,00:00,48696.53516,48875.57031,46347.47656,47945.05859,77069903166.0,0,100.0,5.0
2021-02-16,00:00,47944.45703,50341.10156,47201.30469,49199.87109,77049582886.0,0,100.0,5.0
2021-02-17,00:00,49207.27734,52533.91406,49072.37891,52149.00781,80820545404.0,0,100.0,5.0
2021-02-18,00:00,52140.97266,52474.10547,51015.76563,51679.79688,52054723579.0,0,100.0,5.0
2021-02-19,00:00,51675.98047,56113.65234,50937.27734,55888.13281,63495496918.0,0,100.0,5.0
2021-02-20,00:00,55887.33594,57505.22656,54626.55859,56099.51953,68145460026.0,0,100.0,5.0
2021-02-21,00:00,56068.56641,58330.57031,55672.60938,57539.94531,51897585191.0,0,100.0,5.0
2021-02-22,00:00,57532.73828,57533.39063,48967.56641,54207.32031,92052420332.0,0,100.0,5.0
2021-02-23,00:00,54204.92969,54204.92969,45290.58984,48824.42578,106000000000.0,0,100.0,5.0
2021-02-24,00:00,48835.08594,51290.13672,47213.5,49705.33203,63695521388.0,0,100.0,5.0
2021-02-25,00:00,49709.08203,51948.96875,47093.85156,47093.85156,54506565949.0,0,100.0,5.0
2021-02-26,00:00,47180.46484,48370.78516,44454.84375,46339.76172,351000000000.0,0,100.0,5.0
2021-02-27,00:00,46344.77344,48253.26953,45269.02734,46188.45313,45910946382.0,0,100.0,5.0
2021-02-28,00:00,46194.01563,46716.42969,43241.61719,45137.76953,53443887451.0,0,100.0,5.0
2021-03-01,00:00,45159.50391,49784.01563,45115.09375,49631.24219,53891300112.0,0,100.0,5.0
2021-03-02,00:00,49612.10547,50127.51172,47228.84375,48378.98828,47530897720.0,0,100.0,5.0
2021-03-03,00:00,48415.81641,52535.13672,48274.32031,50538.24219,53220811975.0,0,100.0,5.0
2021-03-04,00:00,50522.30469,51735.08984,47656.92969,48561.16797,52343816680.0,0,100.0,5.0
2021-03-05,00:00,48527.03125,49396.42969,46542.51563,48927.30469,48625928883.0,0,100.0,5.0
2021-03-06,00:00,48899.23047,49147.21875,47257.52734,48912.38281,34363564661.0,0,100.0,5.0
2021-03-07,00:00,48918.67969,51384.36719,48918.67969,51206.69141,43137459378.0,0,100.0,5.0
2021-03-08,00:00,51174.11719,52314.07031,49506.05469,52246.52344,48597428048.0,0,100.0,5.0
2021-03-09,00:00,52272.96875,54824.11719,51981.83203,54824.11719,50912227385.0,0,100.0,5.0
2021-03-10,00:00,54824.01172,57258.25391,53290.89063,56008.55078,57295577614.0,0,100.0,5.0
2021-03-11,00:00,55963.17969,58091.0625,54484.59375,57805.12109,56772343595.0,0,100.0,5.0
2021-03-12,00:00,57821.21875,57996.62109,55376.64844,57332.08984,55689944702.0,0,100.0,5.0
2021-03-13,00:00,57343.37109,61683.86328,56217.97266,61243.08594,60669829814.0,0,100.0,5.0
2021-03-14,00:00,61221.13281,61597.91797,59302.31641,59302.31641,43901225564.0,0,100.0,5.0
2021-03-15,00:00,59267.42969,60540.99219,55393.16406,55907.19922,66419369890.0,0,100.0,5.0
2021-03-16,00:00,55840.78516,56833.17969,53555.02734,56804.90234,59749798599.0,0,100.0,5.0
2021-03-17,00:00,56825.82813,58969.81641,54528.62891,58870.89453,60258313191.0,0,100.0,5.0
2021-03-18,00:00,58893.07813,60116.25,54253.57813,57858.92188,55746041000.0,0,100.0,5.0
2021-03-19,00:00,57850.44141,59498.375,56643.70313,58346.65234,49063873786.0,0,100.0,5.0
2021-03-20,00:00,58332.26172,60031.28516,58213.29688,58313.64453,50361731222.0,0,100.0,5.0
2021-03-21,00:00,58309.91406,58767.89844,56005.61719,57523.42188,51943414539.0,0,100.0,5.0
2021-03-22,00:00,57517.89063,58471.48047,54288.15625,54529.14453,56521454974.0,0,100.0,5.0
2021-03-23,00:00,54511.66016,55985.44141,53470.69531,54738.94531,56435023914.0,0,100.0,5.0
2021-03-24,00:00,54710.48828,57262.38281,52514.33203,52774.26563,70567223787.0,0,100.0,5.0
2021-03-25,00:00,52726.74609,53392.38672,50856.57031,51704.16016,67999812841.0,0,100.0,5.0
2021-03-26,00:00,51683.01172,55137.3125,51579.85547,55137.3125,56652197978.0,0,100.0,5.0
2021-03-27,00:00,55137.56641,56568.21484,54242.91016,55973.51172,47266542233.0,0,100.0,5.0
2021-03-28,00:00,55974.94141,56610.3125,55071.11328,55950.74609,47686580918.0,0,100.0,5.0
2021-03-29,00:00,55947.89844,58342.09766,55139.33984,57750.19922,57625587027.0,0,100.0,5.0
2021-03-30,00:00,57750.13281,59447.22266,57251.55078,58917.69141,54414116432.0,0,100.0,5.0
2021-03-31,00:00,58930.27734,59930.02734,57726.41797,58918.83203,65520826225.0,0,100.0,5.0
2021-04-01,00:00,58926.5625,59586.07031,58505.27734,59095.80859,61669163792.0,0,100.0,5.0
